gene_name,indices
AQP9,779
CSK,780
MTFMT,781
RASL12,782
CTSH,783
CEMIP,784
EHD4,785
TGM5,786
GABPB1,787
SCG3,788
DNAJC17,789
RHOV,790
VPS18,791
OIP5,792
BLOC1S6,793
EXTL3,794
FDFT1,795;218122
AGO2,796
PAG1,797
TG,798
BRF2,799
ZFAND1,800
RP1,801
RIPK2,802
CPQ,803
DECR1,804
SFRP1,805
PLAT,806
DKK4,807
GDAP1,808
PHF20L1,809
EIF3E,810
EMC2,811
CCN4,812
STMN2,813
TRPS1,814
CHRAC1,815
NCALD,816
GML,817
UBR5,818
PYCR3,819;192208
MTMR9,820;215644
DCTN6,821
GSR,822
TNFRSF10A,823
PPP2CB,824
NEFM,825
KCTD9,826
HOMER3,827
CNOT3,828;187775;187814;188096;188402;188682;189021;189373;190011;190975
EXOSC5,829
PNPLA6,830
PLAUR,831
PAF1,832
STXBP2,833
CYP4F3,834
ZNF432,835
ZNF180,836
ZNF780B,837;199271
MAN2B1,838
TULP2,839
DHDH,840
RUVBL2,841
ECH1,842;206796
HNRNPL,843;206789
SARS2,844;206819
KCNA7,845
SNRNP70,846
RELB,847
CLASRP,848
LIN7B,849
PPP1R37,850
FCGRT,851
CKM,852
PEX11G,853
SLC17A7,854
RNASEH2A,855
SF3A2,856
AMH,857
DKKL1,858
TRMT1,859
RETN,860
RSPH6A,861
TBC1D17,862
YJU2B,863
TLE5,864
SGTA,865
SNAPC2,867
C19orf53,868
FIZ1,869
C19orf44,870
EPHX3,872
ZNF419,873
SLC1A6,874
POP4,875
PDCD5,876
LGALS13,877
FBL,878;198894
CLC,879
CCNP,880
EBI3,881
TBCB,882
FSD1,883
POLR2I,884
APLP1,885
CACTIN,886
CCDC9,888
TGFB1,889
DMAC2,890
CEACAM4,891;192066
PLIN3,892
CD79A,893
LIM2,894
RPS19,895
NKG7,896
ICAM5,897
CEACAM5,898
CRX,899
SULT2A1,900
CDC37,901
RABAC1,902
CNFN,903
ZNRF4,904
HAS1,905
RAB3D,906
DBP,907
EPOR,908
RASIP1,909
FGF21,910
WDR83OS,911
CACNG7,912
GCDH,913
DNASE2,914
LENG1,915;187903;189907;190211;191787;192323;192909;194498;195762;196259
RPL18A,916
SLC5A5,917
KCNN1,918
ARRDC2,919
PIK3R2,920
RAB3A,921
PSENEN,922
COMP,923
UPK1A,924
TMEM147,925
GAPDHS,926
HAMP,927
USF2,928
KXD1,929
FKBP8,930
ERF,931
GSK3A,932
ZNF574,933
SIPA1L3,934
CADM4,935
PON1,936
CYP3A43,937
ABCF2-H2BK1,938
HGF,939
TSPAN11-AS1,940
LAMB1,941
UBE2D4,942
WNT16,943
CPA2,944
CPA4,945
GTPBP10,946
TFPI2,947
BET1,948
NAMPT,949
POLR1F,950
PON2,951
ITGB8,952
HBP1,953;210361
SP4,954
CBLL1,955
PALS2,956
OGDH,957
NPVF,958
H2AZ2,959
CAV2,960
HOXA2,961
LFNG,962
HOXA5,963
HOXA6,964
TSPAN12,965
EVX1,966
CHN2,967
ABHD11,968
FKBP14,969
STX1A,970
NOD1,971
CCL24,972
BUD31,973
CYP3A5,974
SNX8,975
WASL,976
HYAL4,977
SPAM1,978
AIMP2,979
TFR2,980
MOSPD3,981
PCOLCE,982
RBM28,983
IRS3P,984
LSM5,985
SERPINE1,986
MOGAT3,987
C1GALT1,988
PLOD3,989
RPA3,990
FIS1,991
GLCCI1,992
MYL10,993
NRF1,994
CEP41,995
ZNF862,996
MEST,997
RARRES2,998
YAE1,999
GIMAP2,1000
PSMA2,1001
MRPL32,1002
COA1,1003
AEBP1,1004
POLD2,1005
MYL7,1006
BCL7B,1007
YKT6,1008
CLIP2,1009
PTGS1,1010
ZNF510,1011
ZNF688,1012
CHMP5,1013
SPATA6L,1014
FKTN,1015
SEC61B,1016
C5,1017
AKNA,1018
TNFSF8,1019
AK1,1020
RLN1,1021
PLGRKT,1022
TBC1D13,1023
ELAVL2,1024
EDF1,1025
SETX,1026
VIM,1027
BLNK,1028
CYP26A1,1029
ATE1,1030
CDH23,1031
CCSER2,1032
ACTA2,1033
PITRM1,1034
STN1,1035
DNAJC12,1036
PPIF,1037
TBC1D12,1038
MPO,1039
ST6GALNAC2,1040
DHX33,1041
UTP18,1042
SLC25A39,1043
P2RX5,1044
EPX,1045
CRYBA1,1046
NUFIP2,1047
GIT1,1048
RPL19,1049
RUNDC3A,1050
CSF3,1051
SUPT4H1,1052
WNT3,1053;188311;191973
SHPK,1054
TAX1BP3,1055
P2RX1,1056
KRT37,1057;164224;274732
GOSR2,1058
PNPO,1059
TVP23C,1060
RPS6KB1,1061
ZNF29P,1062
CBX1,1063
PIGL,1064
GALK1,1065
HOXB6,1066
PFN1,1067
SLC25A11,1068
RASD1,1069
NUP88,1070
C1QBP,1071
CPD,1072
GOSR1,1073
CCDC47,1074
MED31,1075
DRG2,1076
AKAP10,1077
ALDH3A1,1078
SMARCD2,1079
PRR29,1080
SYNGR2,1081
DDX5,1082
ASIC2,1083
CCL2,1084
CCL1,1085
CCL13,1086
PEX12,1087
KRT32,1088
KAT2A,1089
NAGLU,1090
HSD17B1,1091
ABI3,1092
COL1A1,1093
MRPL27,1094
LRRC59,1095
HDAC5,1096
PPY,1097
DUSP3,1098
CACNG1,1099
HLF,1100
EFNB3,1101
FAM20A,1102
RANGRF,1103
RCVRN,1104
MYH1,1105
VTN,1106
TNFAIP1,1107
TMEM97,1108
FOXN1,1109
ALDOC,1110
CD38,1111
IBSP,1112
LAP3,1113
CXCL6,1114
JADE1,1115
RUFY3,1116
AFM,1117
AFP,1118
PHOX2B,1119
GNRHR,1120
CWH43,1121
SULT1E1,1122
SMR3A,1123
LAMTOR3,1124
PF4V1,1125
NFKB1,1126
KLHL2,1127
IL2,1128
WFS1,1129
GAR1,1130
FRG1,1131;195457;208244;208370
CLNK,1132
FAM149A,1133
SPA17,1134
CD82,1135
LDHA,1136;242364
SPI1,1137
PLEKHB1,1138
CRYAB,1139
CTSC,1140
ZPR1,1141
CRTAM,1142
JHY,1143
HSPA8,1144
DTX4,1145
UNC93B1,1146
PUS3,1147
ST3GAL4,1148
SF1,1149
CCND1,1150
CCDC86,1151
PRPF19,1152
TMEM109,1153
ANAPC15,1154
PANX1,1155
APOA5,1156
APOC3,1157
IL10RA,1158
GALNT18,1159
BIRC2,1160
PDHX,1161
SLC15A3,1162
SCGB2A2,1163
DGAT2,1164
C11orf58,1165
RPS13,1166
YBX3,1167
DDX11,1168
SART3,1169
ZNF268,1170
RPLP0,1171
PXN,1172
RAD52,1174
POLR3B,1175
PPFIBP1,1176
CD69,1177
PRDM4,1178
CLEC2B,1179
SELPLG,1180
ASIC1,1181
DAO,1182
KCTD10,1183
MLEC,1184
MVK,1185
CSRNP2,1186
IL23A,1187
SYT10,1188
CYP27B1,1189
MYF6,1190
MYF5,1191
GLI1,1192
PPM1H,1193
LTA4H,1194
ELK3,1195
ITFG2,1196
PRR4,1197;162058;190523
PARP11,1198
ARPC3,1199
GPN3,1200
FGF6,1201
MYL2,1202
RAD51AP1,1203
AKAP3,1204
DUSP16,1205;199885
CREBL2,1206
CDKN1B,1207
GPRC5D,1208
SCNN1A,1209
LTBR,1210
OGFOD2,1211
OAS3,1212
ART4,1213
MGP,1214
ARHGDIB,1215
GTF2H3,1216
RERGL,1217
ENDOU,1218
VDR,1219
FZD10,1220
IL26,1221
IFNG,1222
NUP107,1223
CNOT2,1224
TIMELESS,1225
KRR1,1226
MRPL51,1227
GAPDH,1228
ACRBP,1229
COPS7A,1230
GNB3,1231
CDCA3,1232
CHPT1,1233
USP5,1234
TPI1,1235
ENO2,1236
C12orf57,1237
APOBEC1,1238
NANOG,1239
GOLT1B,1240
PRKAB1,1241
CMAS,1242
HCFC2,1243
CLEC4A,1244
AICDA,1245
RAB35,1246
COX6A1,1247
GATC,1248
RFX4,1249
SRSF9,1250
FGFR1OP2,1251
KLRB1,1252
ZNF76,1253
IYD,1254
LINC03033,1255
FYN,1256
RSPH4A,1257
TMEM14C,1258;214020
SMIM8,1259
ADTRP,1260
ASF1A,1261
HINT3,1262
NCOA7,1263
ULBP1,1264
NEU1,1265;24630;38688;46542;46828;54567;56635;58186
SLC44A4,1266;19676;27900;40698;41310;48150;53560;59954
FBXO5,1267
OPRM1,1268
FANCE,1269
TULP1,1270
MAPK14,1271
STK38,1273
HLA-DOA,1274;27843;42197;43656;48735;54454;57714
MCM3,1275
RNF8,1276
SAYSD1,1277
KIF6,1278
CAP2,1279
GPR63,1280
FBXL4,1281
GPLD1,1282
ACOT13,1283
RPS12,1284
B3GAT2,1285
GMNN,1286
SNX3,1287
LINC01702,1288
ZBTB24,1289
FIG4,1290
ADGRG6,1291
OR14J1,1292;25338;44806;45512;54776;55465;66264
OR5V1,1293;25337;43539;59465;61189;66236;67543;71039
HSD17B8,1294;24186;40545;46165;49581;68310
UNC93A,1295
C6orf118,1296
MDFI,1297
TFEB,1298
BYSL,1299
TBP,1300
GUCA1B,1301
PRPH2,1302
PPP2R5D,1303
MRPL2,1304
PTK7,1305
DNPH1,1307
EXOC2,1308
TMEM30A,1309
VEGFA,1310
H3P16,1311
TTK,1312
CCN6,1313
LAMA4,1314
ENPP5,1315
LY86,1316
PRSS16,1317
MEP1A,1318
MTREX,1319
ISL1,1320
SLC6A7,1321
HARS2,1322
NUDT12,1323
TENT4A,1324
GHR,1325
DAP,1326
BRD8,1327
MRPS30,1328
HBEGF,1329
LOX,1330
GZMK,1331
CDH9,1332
SPARC,1333
HAND1,1334
PCDHB3,1335;273815
PCDHB5,1336;273820
PCDHB6,1337;273828
PCDHB7,1338;273831
PCDHB15,1339;273854
GRM6,1340
THG1L,1341
IL12B,1342
BTNL8,1343
TTC1,1344
C1QTNF3,1345
IRX4,1346
LNPEP,1347
RAD1P1,1348
AGXT2,1349
PRLR,1350
IL4,1351
IL5,1352
ST8SIA4,1353
PCDH12,1354
NUP155,1355
PPP2CA,1356
NR3C1,1357
C5orf15,1358
TRIM23,1359
TRAPPC13,1360
RARS1,1361
CDX1,1362
BNIP1,1363
SLC7A14,1364
SEMA3G,1365
ZMYND10,1366
LTF,1367
MLH1,1368
EHHADH,1369
CRBN,1370
HRG,1371
BCL6,1372
FAM162A,1373
RBP2,1374
PFKFB4,1375
HES1,1376
ECT2,1377
GNAT1,1378
TUSC2,1379
NPRL2,1380
CYB561D2,1381
CEP15,1382
GNB4,1383
MORC1,1384
UMPS,1385
ABTB1,1386
KLHL18,1387
HEMK1,1388
RRP9,1389
AADAC,1390
EIF1B,1391
ZBTB47,1392
TNNC1,1393
NKTR,1394
SPCS1,1395
NEK4,1396
LDAF1,1397
WDFY1,1398
EIF2AK2,1399
CPS1,1400
DAZAP1,1401
DDX1,1402
FKBP7,1403
HEATR5B,1404
MDH1,1405
MAPRE3,1406
TMSB10,1407
MSH2,1408
NCK2,1409
TFPI,1410
NDUFS1,1411;207985
SLC11A1,1412
APOB,1413;273433
RTKN,1414
INO80B,1415
TTL,1416
FAHD2A,1417;274815
SF3B6,1418
CENPA,1419
SLC30A3,1420
MPV17,1421
NRBP1,1422
ITGA4,1423
SNX17,1424
REEP6,1425
APC2,1426
RPS15,1427
GCA,1428
WBP1,1429
TTC31,1430
NDUFS7,1431
PCGF1,1432
TLX2,1433
DOK1,1434
POLE4,1435
ACADL,1436
EVA1A,1437
LANCL1,1438
REG1A,1439
FANCL,1440
IGFBP2,1441
IGFBP5,1442
KCNJ13,1443
CCT4P2,1444
GGCX,1445
NEU2,1446
MOB4,1447
HSPE1,1448
WNT6,1449
IL1RL1,1450
IL18R1,1451
SLC9A2,1452
AZU1,1453;195318
PPP1R7,1454
PASK,1455
PROC,1456
ID2,1457
ODC1,1458
PLEKHB2,1459
GREB1,1460
GORASP2,1461
CEBPZ,1462
PRKD3,1463
RMDN2,1464
DLX2,1465
SLC1A4,1466
ORC2,1467
COX7A2L,1468
PPP3R1,1469
PLEK,1470
PRTN3,1471;188745
KISS1R,1472
GRIN3B,1473
VAX2,1474
ATP6V1B1,1475
MSH6,1476
PLEKHA3,1477
SPR,1478
ENO1,1480
MMP23A,1481
CDC7,1482
SYDE2,1483
SARS1,1484
CLCA1,1485
BCL9,1486
TPSG1,1487
ANGPTL1,1488
TCEANC2,1489
TMEM59,1490
RPL22,1491
OPRD1,1492
WDR77,1493
RNF19B,1494
DLGAP3,1495
